Name,Birthday,CountriesActive,YearsActive,ProvenVictims,PossibleVictims,Notes,Type,Nickname
Claude Lastennet,1/19/1971,France,1993-1994,5,5,Lastennet was convicted of murdering five old women between August 1993 and January 1994.,,
Phillip Carl Jablonski,1/3/1946,United States,1978-1991,5,5,,,
Janie Lou Gibbs,12/25/1932,United States,1966-1967,5,5,"Gibbs killed five of her family members. Gibbs killed her three sons, a grandson and her husband, by poisoning them with arsenic between 1966 and 1967 in Cordele, Georgia. She was sentenced to five life terms in prison. She was released from prison in 1999 due to being diagnosed with Parkinson's disease.",,"The Georgian Black Widow, the Black Georgia Peach"
Vincent Johnson,1/6/1969,United States,1999-2000,5,6,"His victims were strangled and at least three were sexually assaulted by Johnson. He was described by police as a homeless panhandler and crack addict. His DNA was found on four of the victims, which lead to his arrest for the murders. Johnson confessed to the murders a week before prosecutors were to decide on whether or not to seek the death penalty.","Rapists, Strangler","The Brooklyn Strangler, The Williamsburg Strangler"
Hiroaki Hidaka,1/1/1962,Japan,1996,4,4,"Taxi driver who strangled four prostitutes to death in 1996. He buried the remains in the mountains near Hiroshima, Japan. One of his victims was a 16-year-old girl.",Strangler,
Wayne Boden,1/1/1948,Canada,1968-1971,4,4,"Boden killed four women between 1968 and 1971 in Montreal and Calgary, Canada. He would rape and strangle his victims. He was known to bite the breasts of at least three of his victims. Boden was the first murderer to be convicted in North America based on odontological evidence.","Rapist, Strangler, Vampire",The Vampire Rapist
James Vlassakis,12/24/1979,Australia,1997-1999,4,4,"The Snowtown murders (also known as the bodies-in-barrels murders) were a series of murders committed by Vlassakis, Bunting, and Robert Joe Wagner between 1992 and 1999.",,
Buddy Earl Justus,12/25/1952,United States,1978,3,4,"In 1978, Justus raped and murdered an eight and a half month pregnant nurse by shooting her three times in the head. In 1978, Justus and a hitchhiker named Dale Dean Goins, kidnapped raped and murdered two victims before dumping the bodies.",Rapist,
Patrick McCullough,1/20/1960,United States,1980-2001,3,3,,,The Deaf Serial Killer
Jose Rodriguez,1/19/1972,United States,2018,3,3,,Rapist,
Israel Keyes,1/7/1978,United States,1998-2012,3,11,"An FBI report said Keyes burglarized twenty to thirty homes and robbed several banks between 2001 and 2012. He may be linked to as many as eleven deaths. Keyes planned murders long ahead of time, usually killed far from home, and never in the same area twice. Keyes committed suicide on December 2nd 2012, via self-inflicted wrist cuts and strangulation at Anchorage Correctional Complex.","Rapist, Strangler",Izzy
Ozgur Dengiz,1/1/1984,Turkey,2007,3,3,Interned in a mental institution after his conviction to two life sentences was overturned.,Cannibal,The Cannibal of Ankara
George Joseph Smith,1/11/1872,United Kingdom,1912-1914,3,3,"Known for ""The Brides in the Bath Murders"".",,
Altemio Sanchez,1/19/1958,United States,1981-2006,3,3,"He would beat and raped his victims before using a ligature, wire, or garrote, to strangle and suffocate victims.","Rapist, Strangler","Bike Path Rapist, Bike Path Killer"
Michael Bruce Ross,7/26/1959,United States,1981-1984,8,8,,"Rapist, Strangler, Torturer, Stalker",The Roadside Strangler
Marie Noe,8/23/1928,United States,1949-1968,8,8,She who murdered eight of her children between 1949 and 1968.,,
Kendall Francois,7/27/1971,United States,1996-1998,8,9,"Francois confessed to killing eight prostitutes in Poughkeepsie, New York, but denied involvement with the disappearance of a ninth prostitute. In 1995, Francois tested positive for HIV. He hid the bodies of his victims in the house that he shared with his parents.","Rapist, Strangler, Stalker",The Poughkeepsie Killer
Walter E. Ellis,7/24/1960,United States,1986-2007,7,20,"Ellis was convicted of killing seven prostitutes in Wisconsin between 1986 and 2007. His victims were all African-American women. In 2011, investigators stated they were reviewing the cases of another twenty strangled prostitutes Elis could be connected to.","Rapist, Strangler",The Milwaukee North Side Strangler
Paul Durousseau,8/11/1970,United States,1997-2004,7,9,"Durousseau murdered seven young women, including two who were pregnant, in the southeastern United States. He would gain entrance to the victim's home, bound, rape and strangle the victims to death.","Rapist, Strangler",The Jacksonville Strangler
David Alan Gore,8/21/1953,United States,1981-1983,6,6,"Gore had an accomplice, his cousin Fred Waterfield, and the pair were dubbed the Killing Cousins. David Alan Gore was executed by lethal injection at 6:19 p.m. on Thursday, April 12, 2012, having exhausted all legal appeals.","Rapist, Torturer, Strangler, Stalker",One of the The Killing Cousins
Fred Waterfield,9/29/1952,United States,1981-1983,6,6,"Fred Waterfield (Frederick Levin Waterfield) an American serial killer known as The Killing Cousins. The Killing Cousins confessed to, and was convicted of, six murders in Vero Beach and Indian River County, Florida in the 1980s. Waterfield had an accomplice, his cousin David Alan Gore, and the pair were dubbed the Killing Cousins. Gore was executed by lethal injection in 2012. In 1985, Waterfield was convicted of two murders and sentenced to life imprisonment. Fred Waterfield is currently serving two consecutive life sentences at the Avon Park Correctional Institution in Florida.","Rapist, Torturer, Strangler, Stalker",One of the The Killing Cousins
Cleophus Prince,7/24/1967,United States,1990,6,6,"He would break into homes to rape stab and murder his victims, he stole the wedding rings of some of his victims. In 1991, Prince's license plate number was taken down by a potential victims neighbor which led to his arrest, he was released on bail. In 1991, Prince walked into the precinct with his mother and he was taken into custody after authorities requested he come in to fill out additional paperwork.","Rapist, Stalker",The Clairemont Killer
Lemuel Smith,7/23/1941,United States,1958-1981,6,6,"Lemuel Smith Confessed to the murders of five people, including an on-duty female prison guard. Sentenced to death on June 10, 1983. Conmmuted to life in 1984.",,
Nathaniel White,7/28/1960,United States,1991-1992,6,6,"White was convicted of beating and stabbing to death six women in the Hudson Valley region of New York. White claims to have been inspired by the 1990 movie RoboCop 2, basing his first murder after a scene from the movie.",Rapist,
John George Haigh,7/24/1909,United Kingdom,1944-1949,6,9,"Known as the Acid Bath Murderer for dissolving his victims in sulphuric acid under the belief that he could not be prosecuted for murder if no body was found. He would then forge papers to sell the victims possessions. Confessed nine murders, convicted of six and hanged. Haigh claimed that he had drank the blood of one of his victims.",Vampire,Acid Bath Murderer
Willem van Eijk,8/13/1941,Netherlands,1971-2001,5,8,"He was an outcast from early elementary school, being publicly bullied and showing several acts of animal cruelty.","Rapist, Strangler","The Beast of Harkstede, Gekke Willempje"
Shawn Grate,8/8/1976,United States,2005-2016,4,5,"He was arrested after a victim who was kidnapped and raped multiple times escaped and called 911. Grate wrote two letters to a news station in Cleveland, Ohio confessing to the murders of all five victims.","Rapist, Strangler",
Thomas Huskey,8/20/1960,United States,1991-1992,4,4,Huskey confessed and had souvenirs from the women's bodies found in his bedroom. He was charged with four murders which were formally dropped due to a mistrial. Huskey is a former elephant trainer who got his nickname from prostitutes who said he took them to the Knoxville Zoo to have sex.,Rapist,Zoo Man
Fritz Honka,7/31/1935,Germany,1971-1974,4,4,"Honka murdered four women working as prostitutes in Hamburg and kept the bodies in his apartment. Honka sawed the corpses into pieces, wrapped them in plastic and hid pieces in various places around Ottensen including his own attic. In 1975, the apartment building where Honka lived caught fire and exposed a partially decomposed female torso in a plastic bag which prompted the police to search the building.",Strangler,Peter Jensen
Cary Stayner,8/13/1961,United States,1999,4,4,"Stayner was frequent at Laguna Del Sol, a nudist colony in Sacramento County. He was arrested at Laguna Del Sol in 1999 after witnesses identified his vehicle to authorities.","Rapist, Strangler, Stalker",The Yosemite Killer
Robert Rozier,7/28/1955,United States,1981-1986,4,7,"Rozier was a former American football defensive end who played in the National Football League and Canadian Football League. He was as a member of the Nation of Yahweh, a black supremacist cult. The Yahweh's group required murdering a ""white devil"" and returning with a body. Rozier confessed to killing seven white people to please Yahweh.",,"Neariah Israel, Child of God"
Hiroshi Maeue,8/8/1968,Japan,2005,3,3,"Maeue found his victims in an online suicide community. He offered to painlessly kill themselves together by charcoal burning in a car, but once together he strangled them with his bare hands instead, as this excited him sexually. Maeue suffered from a psychosexual disorder which made him unable to achieve sexual release in the absence of performing an act of strangulation. ",Strangler,The Suicide Website Murderer
Yukio Yamaji,8/21/1983,Japan,2000-2005,3,3,Murdered his own mother in 2000. Yamaji also murdered a 27-year-old woman and her 19-year-old sister in 2005.,Rapist,
Martha Rendell,8/10/1871,Australia,1907-1908,3,3,Rendell killed three stepchildren between 1907 and 1908. Rendell would kill by swabbing the mouths and throats of the children with hydrochloric acid. One surviving child ran away claiming that his step-mother had killed his siblings and was trying to poison him. The three children's bodies were exhumed and diluted hydrochloric acid was found on the throat tissue. Rendell was arrested and sentenced to death by hanging.,,
Heriberto Seda,7/31/1967,United States,1990-1993,3,3,,Stalker,
Richard Evonitz,7/29/1963,United States,1996-1997,3,3,"An abducted 15-year-old girl escaped and was able to identify Evonitz as her attacker. Evonitz fled after finding the victim gone but police were able to locate him near the waterfront in Sarasota, Florida. Richard Evonitz shot himself while surrounded by police on June 27th 2002.","Rapist, Strangler",
Peter Kudzinowski,8/13/1903,United States,1924-1928,3,4,"Jones wrote a confession in a letter to his sister between 2006 and 2007, with instructions to open it a year after his execution. In 2008, Stewart died of cancer while still in prison. In 2017, Jack Harold Jones was executed by lethal injection in Arkansas. After his execution Jones' sister opened the letter which contained details about Regina Harrison's murder and instructions to deliver the letter to the authorities.",Rapist,"Ray Rogers, Roy Lambert"
Jack Harold Jones,8/10/1964,United States,1983-1995,2,3,,"Rapist, Strangler",
Adam Leroy Lane,7/7/1964,United States,2007,2,3,"Lane worked as a trucker through the Northeast. In 2007, Lane broke in to a home attacked a 15-year-old girl with a knife, her parents awoke and were able to subdue the Lane.",,The Highway Killer
Hadden Clark,7/31/1952,United States,1986-1992,2,12,"On October 18, 1992 he killed 23-year-old Laura Houghteling in Bethesda, Maryland. He later returned and dressed up in a wig and women's clothes and left out the front door to make people think Laura left the house alive to buy time to clean the scene. Clark later admitted that he ate some of Michelle Dorr's remains before burying her. He also confessed to eating and torturing other women and girls.","Cannibal, Torturer","The Cross Dressing Cannibal, The Rockville Rocket"
Adolfo Costanzo,11/1/1962,United States,1986-1989,16,23,"Adolfo Constanzo (Adolfo de Jesus Constanzo) Cuban-American serial killer drug dealer, and cult leader of The Narcosatanists (Los Narcosatánicos). Constanzo sexually assaulted and killed drug dealers and used their body parts for religious sacrifice ceremonies in an old warehouse near Matamoros. Many of his victims' body parts were cooked in a large pot called a nganga.","Torturer, Stalker","The Godfather, El Padrino, The Witch Doctor"
Chengyong Gao,11/10/1964,China,1988-2002,11,11,"Gao's crime spree has been labeled the Silver City serial killing case. Gao raped murdered and mutilated the corpses of his victims. He confessed to murdering eleven women between 1988 and 2002. He committed acts of necrophilia on at least one of his victims. He removed the reproductive organs, cut the hands off multiple victims and a breast off at least one victim. He was arrested in 2016 and sentenced to death in 2018. Gao Chengyong was executed on January 3rd 2019.","Rapist, Necrophiliac","the Chinese Jack the Ripper, the Silver City serial killer"
Martin Lecián,10/31/1900,Czech Republic,1927,11,11,"Martin Lecián a Czech serial killer who responsible for killing 3 policemen and 1 prison officer. Lecián was arrested, convicted and executed in 1927.",,"Terror of Moravia, Moravian horror"
Debra Brown,11/11/1962,United States,1984,8,8,"Committed a crime spree across six states in the Midwest where eight people were murdered between May and July 1984. Brown is borderline intellectually disabled, as well as diagnosed with dependent personality disorder. ","Torturer, Stranger",
Alton Coleman,11/6/1955,United States,1984,8,8,"Alton Coleman an American serial killer along with accomplice Debra Brown, who committed a crime spree across six states in the Midwest where eight people were murdered between May and July 1984. Coleman was already awaiting trial on a charge of rape when he fled and began his killing spree. Coleman was arrested three days after he made the FBI's Ten Most Wanted List in 1984. On April 26th 2002, Alton Coleman was executed by lethal injection in the death chamber at the Southern Ohio Correctional Facility in Lucasville, Ohio.","Rapist, Torturer, Strangler, Stalker",
Paul Dennis Reid,11/12/1957,United States,1997,7,7,"Reid killed the employees of restaurants he targeted for a series of robberies during 1997. Reid moved to Nashville to attempt a country music career. He was fired as a dishwasher for throwing a plate at another employee. He murdered seven victims during three fast food restaurant robberies in Nashville and Clarksville, Tennessee. During most of the robberies he would make victims lay face down on the floor and shoot them in the head execution-style, one victim was stabbed and two were kidnapped before having their throats cut. Paul Dennis Reid received seven death sentences and died in prison in 2013.",,The Fast Food Killer
Jerry Leon Johns,11/16/1948,United States,1983-1985,6,6,"All victims were slim white women with red or reddish hair, who died by being suffocated or strangled and was found close to major roadways in Tennessee, Kentucky and West Virginia. During his crimes as a serial killer he was known to strangle, rape, and murder his victims.","Rapist, Strangler","Redhead Murders, Bible Belt Strangler"
Hubert Geralds,11/13/1964,United States,1994-1995,5,5,"Geralds was charged with the murders of six prostitutes and drug addicts in Chicago's South Side. The sixth victim Geralds was charged with turned out to be one of the victims of another Chicago serial killer named Andre Crawford. A study from Radford University states he had an IQ of 73. Hubert Geralds was sentenced to death in 1997. In 2003, Hubert Geralds' death sentence was commuted to life in prison without the possibility of parole.","Rapist, Strangler",Englewood Strangler
Kimberly Saenz,11/3/1973,United States,2008,5,5,"Saenz injected chlorine bleach into at least five patients' dialysis lines at a local Texas dialysis center in Lufkin, Texas, US. Saenz is being held at the Dr. Lane Murray Unit, Gatesville, Texas.",,Kimberly Clark Fowler
James Dale Ritchie,11/4/1976,United States,2016,5,5,"Ritchie murdered at least five individuals in and around Anchorage, Alaska, most of whom were in parks or along bike paths. Ritchie was killed during a shootout with members of the Anchorage Police Department in downtown Anchorage in 2016. Following his death, a Colt Python handgun on his person connected him to the string of murders he committed throughout the year.",,"Tiny, Anchorage Serial Killer"
Marc Dutroux,11/6/1956,Belgium,1995-1996,5,11,"Dutroux was convicted of kidnapping, torturing and raping six girls ranging in age from 8 to 19, four of whom he murdered. Throughout the trial, Dutroux insisted that he was part of a sex ring with accomplices among police officers, businessmen, doctors, and even high-level Belgian politicians. Marc Dutroux was sentenced to life imprisonment in 2004.","Rapist, Torturer",Dutroux murders
Gary Hilton,11/12/1946,United States,2005-2008,4,6,"On January 30, 2008, Gary Hilton pleaded guilty to one count of murder, he was sentenced to life in prison. Hilton was later linked to and then charged with three additional murders: the October 2007 murders of elderly couple in North Carolina, and the December 2007 murder of 46-year-old nurse in Florida. In 2011, Gary Hilton was sentenced to death. In 2012, Hilton was sentenced to four additional life sentences.",Rapist,The National Forest Serial Killer
Cayetano Santos Godino,10/31/1896,Argentina,1912,4,4,"Teenage arsonist, animal killer and child murderer with congenital syphilis. At the age of 10 Godino was aressted after his mother called the police over Godino's compulsive masturbation resulting in a two-month jail term. Arrested at age 16 in 1912 for killing four children, one victim had a nail hammered it into the side of the skull. During the same time he also tried to kill seven more. Interned in 1913 in a reformatory, where he tried to kill other immates, and from 1915 in prison. Died in jail in 1944 when he was found dead in his cell. The offical cause was internal bleeding caused possibly tied to a gastrities outbreak.",,"Petiso Orejudo, the Big-eared Midget"
William Henry Hance,11/10/1951,United States,1977-1978,4,4,"Hance was convicted of killing four women around military bases in 1977 and 1978. He was a suspect in the Stocking Strangler murders, until the capture of Carlton Gary. In 1984 psychiatrists determined that Mr. Hance was borderline retarded, with an I.Q. of 76. In another evaluation in 1987, psychiatrists said he had an I.Q. of 91, within the average range of intelligence. He was executed by the state of Georgia on March 31st 1994, via the electric chair.","Rapist, Strangler",Chairman of the Forces of Evil
David Parker Ray,11/6/1939,United States,1957-1999,3,60,"Ray would kidnap, rape and torture victims in a soundproofed enclosed trailer equipped with devices used for sexual torture. He referred to the trailer as the toy box. In 1999, A potential victim escaped the torture trailer and alerted a nearby neighbor, the victim was naked and chained with a padlocked around her neck. Authorities in Arizona and New Mexico suspect that Ray was responsible for the murders of up to sixty victims, based on accusations by his accomplices including his own daughter. The victims bodies were never found. In 2001, Ray agreed to a plea bargain and was sentenced to two hundred and twenty-four consecutive years imprisonment. In 2002, David Parker Ray died from a heart attack while still in prison.","Rapist, Torturer",The Toy-Box Killer
Alfredo Prieto,11/18/1965,United States,1988-1990,3,9,"Prieto was convicted of three murders and suspected of six more between 1988 and 1990. Prieto was sentenced to death in California in 1992 and sentenced to a second death sentence in Virginia in 2010. While in prison in California, Prieto's DNA was linked to the three homicides. In addition the three murder convictions, Prieto is suspected but not charged in the killings of six more victims between 1988 and 1990. A study from Radford University states he had an IQ of 70. In 2015, Alfredo Prieto was executed by lethal injection at the Greensville Correctional Center in Jarratt, Virginia.",Rapist,
Sean Patrick Goble,11/1/1966,United States,1995,3,12,"Goble was a long-distance trucker living in Asheboro, North Carolina. He was convicted in 1995 in Greene County Criminal Court of two counts of first-degree murder and sentenced to two consecutive life sentences. Goble confessed to the January 1995 murder of Brenda Kay Hagy, 45, at a Baileyton truck stop and then disposing of her body in Virginia. Goble also confessed to killing 36-year-old Rebecca Alice Hanes in March 1995 in Jefferson County and dumping her body off Interstate 81 in the Kingsport area. Goble confessed to the murder of 34-year-old Sherry Mansur. Her body was found in February 1995 along Interstate 40 in Guilford County.","Rapist, Strangler","Baileyton Truck Stop Murder, The Wild One"
Salvatore Perrone,11/22/1948,United States,2012,3,3,"A failing business owner and former door-to-door salesman, he went into stores in Brooklyn around closing time, when the merchants, who were all of Middle Eastern origin, were alone and murdered them execution-style with a sawed-off rifle. Perrone stalked the streets of Brooklyn with a kill kit he carried around in a black duffle bag that included screwdrivers, a bloody eight-inch serrated knife, gloves, bleach, wire cutters, and a loaded, sawed-off rifle. When police searched his home they found a basement lair filled with ammo, a 12-gauge shotgun and duct tape. In 2016, Salvatore Perrone was sentenced to the maximum sentence, severity-five years to life in prison.",,"The Son of Sal, John Doe Duffel Bags
"
Gregory Brazel,11/17/1954,Australia,1982-1990,3,3,"Brazel was dishonorably discharged after holding five privates hostage in an army exercise in Healesville, Australia. He was persuaded to release the hostages and no one was harmed. He killed three female victims between 1982 and 1990. Brazel fatally shot a female hardware store owner in a 1982 armed robbery and murdered two female prostitutes in 1990. Gregory Brazel is currently serving three consecutive life sentences at Her Majesty's Prison Barwon in Lara, Victoria, Australia. He will be eligible for parole in 2020.",,Bluey
William Heirens,11/15/1928,United States,1945-1946,3,3,"Heirens stabbed three females between 1945 and 1946. Heirens was called the Lipstick Killer after a message he left written in lipstick on a wall at a crime scene. The message read ""For heavens, Sake catch me, Before I kill more, I cannot control myself"". He left other notes at later crime scenes. Heirens was arrested in 1946 on attempted burglary charges when a witness saw him breaking into an apartment and called the police. William Heirens was sentenced to life in prison in 1946.",,The Lipstick Killer
Gordon Northcott,11/9/1906,United States,1928,3,20,"Pedophile who abducted and murdered boys aged between 10 and 12 in Los Angeles and then disposed of the bodies with the help of his mother, Sarah Louise Northcott, and his underage nephew Sanford Clark, whom Northcott had repeatedly threatened and sexually abused. Police considered Northcott a suspect in the disappearance of as many as 20 missing boys in the area that Northcott admitted to have molested, but not murdered.",,Wineville Chicken Coop Murders
Robert Browne,10/31/1952,United States,1970-1995,2,48,"Browne instigated a new investigation by sending a cryptic letter to the authorities in 2000. The letter read, ""Seven sacred virgins entombed side by side, those less worthy are scattered wide, the score is you 1, the other team 48.” The letter included a hand-drawn map with outlines of 8 States, with a number written inside each state.",,Robert Charles Browne
Billy Chemirmir,12/8/1972,United States,2016-2018,14,18,"Chemirmir, a former healthcare worker and illegal alien from Kenya, allegedly posed as a maintenance worker or health care provider, to gain entrance into the elderly victim's homes. He allegedly smothered his victims to death with a pillow, stealing jewelry and other valuables. Chemirmir was arrested in 2018 after being identified by his license plate number. As of February 2019, Chemirmir has been indicted on 14 capital murder charges, all of which involved elderly victims and many of whom lived in assisted living facilities.",,
Rosemary West,11/29/1953,United Kingdom,1971-1987,10,10,"Fred West (Frederick Walter Stephen West) a British serial killer who along with his wife Rosemary West are known as The Gloucester House of Horrors. In 1995, Fred was suspected of twelve to thirteen murders, nine young women between 1973 and 1987, and his own son in 1971. Fred West committed suicide by asphyxiating himself while on remand at HM Prison Birmingham on January 1st 1995. West's suicide note: ""In loving memory. Fred West. Rose West. Rest in peace where no shadow falls. In perfect peace he waits for Rose, his wife.""","Rapist, Torturer, Strangler",The Gloucester House of Horrors
Robert Joe Wagner,11/28/1971,Australia,1992-1999,10,10,"The secondary ringleader in the Snowtown murders. The Snowtown murders were a series of murders committed by John Bunting, Robert Wagner, and James Vlassakis between August 1992 and May 1999, in South Australia. On May 20th 1999, the remains of eight victims were found by the South Australian Police in six plastic barrels in an unused bank vault. A piece of the flesh of the eleventh and final victim, David Johnson, was fried and eaten by Bunting and Wagner. Wagner and John Justin Bunting; sentenced to ten consecutive life sentences without the possibility of parole.","Cannibal, Torturer, Strangler","Snowtown murders, bodies-in-barrels murders"
Timothy Krajcir,11/28/1944,United States,1977-1982,9,9,"Krajcir would stalk his victims prior to the attack. Krajcir would break into their homes, wait for them to arrive and tie them up. Some victims were kidnapped and transported before they were killed while other victims were found tied up at their residents. Krajcir's victims were killed by a gunshot, stabbing or asphyxiation. Krajcir raped and forced victims to perform sexual acts during his crimes. Timothy Krajcir was sentenced to thirteen terms of life imprisonment.","Rapist, Strangler, Stalker",the Boogeyman in the blue bandana
Akira Nishiguchi,12/14/1925,Japan,1963,5,5,Akira Nishiguchi a Japanese serial killer and fraudster known as the Black Gold Medalist. Nishiguchi murdered two people while engaging in confidence scams and killed three others while on the run from justice. Hanged in 1970.,,the Black Gold Medalist
David Mason,12/02/1956,United States,1980-1982,5,6,Strangled four of his elderly neighbors. Mason murdered his cellmate when imprisoned on lesser charges in 1982. Mason was also a suspect in the shooting and murder of his boyfriend. Mason was executed on August 24th 1993 in the gas chamber,Strangler,
Steven Grieveson,12/14/1970,United Kingdom,1993-1994,4,5,He would strangle and set fire to the bodies of his victims in an attempt to conceal evidence. It is believed that he killed to hide his homosexuality. He eventually confessed to al four murders and was sentenced to life imprisonment.,Strangler,Sunderland Strangler
Arnold Sodeman,12/12/1899,Australia,1930-1935,4,4,"He preyed on girls between the ages of 8 and 12. He lured at least two of his victims by offering to buy them ice cream and offered another victim a ride on his bicycle. Sodeman would gag, bound and strangle the girls to death. He disposed of the bodies by dumping them at multiple locations in Victoria, Australia.","Rapist, Strangler",Schoolgirl Strangler
John Duffy,11/29/1958,United Kingdom,1985-1986,3,3,Duffy with his accomplice David Mulcahy attacked numerous women and children at railway stations in the south of England between 1985 and 1986. Both are suspected of other sexual attacks,"Rapist, Strangler, Stalker","The Railway Killers, The Railway Rapists"
Joseph Kallinger,12/11/1935,United States,1974-1975,3,3,"Kallinger murdered three people, including his teenage son, and tortured four families during 1974 and 1975. Kallinger and his son were charged with kidnapping, murder and rape. Kallinger was sentenced to life in prison in 1976, transferred to a mental hospital on suicide watch in 1979. He spent the last eleven years of his life on suicide watch. Joseph Kallinger died of an epileptic seizure resulting in heart failure in 1996.","Rapist, Torturer",The Shoemaker
Sharon Kinne,11/30/1939,"United States, Mexico",1960-1964,3,3,"Sharon Kinne (Sharon Elizabeth Kinne) (born Sharon Elizabeth Hall) an American serial killer known as La Pistolera (the gunfighter). Kinne murdered at least three people from 1960-1964. On December 7, 1969, Kinne escaped from the Iztapalapa prison, Mexico City, Mexico.",,"La Pistolera, the gunfighter"
George Chapman,12/14/1865,United Kingdom,1897-1902,3,3,George Chapman Poisoned three consecutive mistresses with tartar emetic. Considered the possible identity of Jack the Ripper at the time of his execution (1903).,,Jack the Ripper (possible)
Damaso Rodriguez Martin,12/11/1944,Spain,1981-1991,3,3,"Martin was charged with murder, rape theft of a firearm and illegal possession of weapons. Sentenced to fifty-five years in prison for murdering a man and raping his girlfriend. He escaped from prison in 1991 and fled to the Anaga Mountains where he killed two German hikers, the woman was raped. In 1991, Authorities cornered Martin in an abandoned house, Damaso Rodriguez Martin shot himself unsuccessfully and was then shot dead by law enforcement.","Rapist, Strangler","El Brujo, The Warlock"
Eddie Leonski,12/12/1917,Australia,1942,3,3,"Leonski confessed to the strangulation, rape and murder of three women in Melbourne, Australia. He was picked from a lineup of American servicemen by the uncle of one of his victims. Leonski claimed he killed to obtain the voices of his victims. Leonski's crimes were committed in Australia, but his trial was conducted under American military law. Excuted by hanging.","Rapist, Strangler",The Brownout Strangler
Scott Williams,12/3/1963,United States,1997-2006,3,3,Williams killed three women victims between 1997 and 2006. He would shoot victims in the head with reports of mutilation and dismemberment after death. Scott Williams was sentenced to life imprisonment in 2008.,,
Dana Sue Gray,12/6/1957,United States,1994,3,3,"Gray was convicted of murder of three elderly women and attempted murder of a fourth in California between February and March 1994. Gray says she committed the murders to support her spending habits. In1998, Dana Sue Gray was sentenced to life without parole.","Medical, Cannibal, Strangler",
Harvey Miguel Robinson,12/6/1974,United States,1992-1993,3,3,"Robinson stalked, raped and killed three women in Allentown, Pennsylvania in 1992 and 1993. He was seventeen years old when the crimes took place and eighteen when he was apprehended. Harvey Robinson was arrested when he sought medical attention at a hospital after a shoot-out with the police.","Rapist, Strangler, Stalker",
Scott Erskine,12/22/1962,United States,1989-1993,3,3,"Erskine would kidnap, rape and murder his victims. He bound, gagged, strangled and bit the genitals of at least one of his victims. Erskine's DNA was found on two cigarette butts found near one victim and in the mouth of another victim. Authorities suspect he may be linked to other unsolved murders or disappearances.","Rapist, Torturer, Strangler",
Harvey Glatman,12/10/1927,United States,1957-1958,3,4,"He posed as a professional photographer to lure his victims with the promise of a modeling career. Glatman convinced women to pose for bondage photographs instead he would tie them up and sexually assault them. In 1958, a patrolman saw him struggling with a woman on the side of the road and arrested him. Harvey Glatman was executed in the gas chamber.","Rapist, Strangler","The Lonely Hearts Killer, Glamour Girl Slayer"
Martin Ney,12/12/1970,Germany,1992-2004,3,5,Ney wore a mask while killing three victims and sexually assaulting at least forty children.,,"The Masked Man, The Black Man"
Jacobus Dirk Hertogs,12/16/1949,Netherlands,1979-1980,3,12,"Hertogs was convicted of the abduction, torture rape and murder three girls. He is suspected of killing a further three to nine girls and young women in the 1970s. In 1980, Hertogs was bit on his littler finger by a victim, the bite was used to help identify and lead to his arrest. During a search of his home Authorities found an attic which was provisionally furnished as a torture chamber and blood from two of his victims.","Rapist, Torturer",Koos Hertogs
Jesse Pomeroy,11/29/1859,United States,1874,1,2,"Pomeroy lured younger children and tortured them for his sexual pleasure, killing two. Pomeroy's sentence was commuted to life in prison in solitary confinement in 1876. In 1929 he was transferred to a hospital for the criminally Insane. Jesse Pomeroy died in 1932 of natural causes.",Torturer,"The Boston Boy Fiend, The Boy Torturer, The Demon, The Red Devil"
James Edward Wood,12/9/1947,United States,1976-1993,1,12,"Wood would kidnap, rape molest, commit acts of necrophilia on the body and dismember the corpse of his victims. He has been suspected of multiple rapes, robberies and dozens of murders. In 2004, James Edward Wood died from a heart attack at the Idaho Maximum Security Institution in Kuna, Idaho.","Rapist, Necrophiliac, Torturer, Stalker",James Godwin
Henry Howard Holmes,5/16/1861,United States,1886-1894,9,27,"Trapped, tortured and murdered guests at his Chicago hotel, which he opened for the 1893 World's Fair. Holems confessed to 27 murders (in Chicago, Indianapolis and Toronto) and six attempted murders. He was hanged on May 7, 1896, in Philadelphia.",Torturer,H. H. Holmes
Vladimir Mukhankin,4/22/1960,Russia,1995,9,9,"Mukhankin was known as The pupil of Andrei Chikatilo. He would stab or suffocate his victims, some victims were tortured before death. He would dismember and sometimes burn the bodies of his victims. In 1995, Mukhankin was arrested and sentenced to death. His death sentence was later commuted to life imprisonment. Vladimir Mukhankin is currently serving his sentence at the Black Dolphin Prison in Orenburg Oblast, Russia.","Rapist, Torturer",The pupil of Chikatilo
Sibusiso Duma,5/6/1984,South Africa,2007,7,7,"South African serial killer and taxi driver who was most active in Pietermaritzburg, KwaZulu Natal. Duma murdered seven people in the Pietermaritzburg area of KwaZulu Natal in 2007. Sibusiso Duma was know to rob, kidnap, torture rape and murder his victims.","Rapist, Torturer",
Waneta Hoyt,5/13/1946,United States,1965-1971,5,5,"An American female serial killer who murdered all five of her biological children. Hoyt claimed sudden infant death syndrome SIDS was the cause of death and the doctors agreed. In 1994, Hoyt confessed to smothering her five children, a confession she later recanted. She was diagnosed with dependent and avoidant personality disorders. Waneta Hoyt died in prison of natural causes, pancreatic cancer, in 1998.",,
