Name,Birthday,Country,Years active,Proven victims,Possible victims,Notes,Type
Charlie Brandt,2/23/1957,United States,1971 to 2004,4,29,"Committed suicide by hanging after murdering his wife and niece. The latter was also decapitated and eviscerated in a manner strongly similar to 26 unsolved murders of women in Florida, starting in 1973, the year Brandt moved to the state. Brandt was later considered the culprit in one of these murders, due to his strong resemblance to a suspect who was filmed by a traffic camera near the place where one body was found. He could not be officially tied to the other crimes due to lack of evidence. Previously, when he was 13 years old in 1971, he attempted to murder his whole family with a gun, for no apparent reason. His mother (who was pregnant) died in this attack, but his father survived, and his sister escaped.[274]",
Robert Black,4/21/1947,United Kingdom Ireland (suspected) Germany (suspected) Netherlands (suspected) France (suspected),1981 to 1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.[275]",
Max Gufler,1/5/1918,Austria,1946 to 1958,4,18,"Poisoned and drowned four women, but suspected of killing 18 in total.",
Ernesto Picchioni,9/9/1967,Kingdom of Italy Italy,1949 and earlier,4,16,Murdered people who approached his home; died of cardiac arrest in 1967.[276],
Baekuni,,Indonesia,1993 to 2010,4,14,"Pedophile who raped and killed young boys; initially sentenced to life imprisonment, but changed to the death sentence.[277]",
Igor Chernat,,Soviet Union,1985 to 1986,4,13,"Known as the ""Evil Spirit of Kaukjarvi""; Ukrainian soldier who raped and killed women in Kamenka, selling their stolen items afterwards; executed 1987.[278]",
Ricky Lee Green,12/27/1960,United States,1985 to 1986,4,12,Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.[279],
Robert Hicks Murray,,United Kingdom,1912 and earlier,4,11+,Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.[280],
Dallen Bounds,8/9/1971,United States,1999,4,4+,"Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest.",
Stephen Port,2/22/1975,United Kingdom,2014 to 2015,4,4+,"Nicknamed ""The Grindr Killer"", Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London.",
Robert Maudsley,6/26/1953,United Kingdom,1974 to 1978,4,4,"Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, in prison. Has been held in solitary confinement since 1983.",
Ted Kaczynski,5/22/1942,United States,1978 to 1996,3,3,"Domestic terrorist and serial bomber known as the ‘Unabomber’, Kaczynski was responsible for more than two dozen bombings of universities and one airline bombing from 1978 to 1996, justified by Kaczynski by his philosophy that technological advancements would destroy humanity. Arrested in 1996 due to his brother David recognizing the then unidentified Unabomber's manifesto titled: Industrial Society and Its Future, as the work of Kaczynski. Currently imprisoned at ADX Florence.[281]",
Richard Kuklinski,4/11/1935,United States,1948 to 1986,3,100–250,"Hitman for hire known as ""the Iceman"",[282] believed to have killed not only as a hitman but also on his own initiative.[283]",
Robert Ben Rhoades,11/22/1945,United States,1989 to 1990,3,50+,Convicted of murdering three women in Texas and Illinois between 1989 and 1990. Sentenced to life imprisonment.[284],
Peter Tobin,8/27/1946,United Kingdom,1991 to 2006,3,48,"Scottish rapist and serial killer known to have killed at least three young women. Also a suspect in the Bible John murders, committed in Glasgow during the late 1960s.[285]",
Pedro Padilla Flores,,Mexico,1986,3,30,Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Juárez Murders.[286],
Billy Glaze,7/13/1943,United States,1986 to 1987,3,20+,"Known as ""Butcher Knife Billy"". Killer convicted of raping and murdering three Native American prostitutes in Minneapolis in 1986 and 1987.[287]",
Bertha Gifford,10/30/1871,United States,1909 to 1928,3,17,"Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri.[288]",
Bernhard Prigan,,Allied-occupied Germany West Germany,1947 to 1952,3,16,Killed women near highways; confessed to a total of 16 murders.[289],
Stephen Griffiths,12/24/1969,United Kingdom,2009 to 2010,3,14,"Known to have killed three prostitutes, but claims to have killed 14 to beat ""Yorkshire Ripper"" Peter Sutcliffe. Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.[290]",
Koos Hertogs,12/16/1949,Netherlands,1979 to 1980,3,12,"Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further three to nine girls and young women in the 1970s.",
Chisako Kakehi,,Japan,2007 to 2013,3,10,"Poisoned her husband and two other men to death, but suspected in another seven deaths; sentenced to death.[291]",
Dorothea Puente,1/9/1929,United States,1982 to 1988,3,9–25,Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.[292],
Patrick Mackay,9/25/1952,United Kingdom,1973 to 1975,3,12,"Burglar suspect of 12 violent murders during robberies, charged with five and convicted of three. Bragged that he had killed 11 people. In prison for life.[293]",
Leonarda Cianciulli,4/18/1894,Kingdom of Italy,1939 to 1940,3,-,"murdered three women in the town of Correggio, Reggio Emilia, and turned their bodies into soap and cakes.[294]",
Luis Garavito,1/25/1957,Colombia Ecuador[3] Venezuela[3],1992 to 1999[3],138,172–300+,"Child-murderer, torture-killer, and rapist known as ""La Bestia"" (""The Beast""). Confessed to killing 140 boys between eight and 16 years old over a seven-year period in Colombia and neighboring countries.[3] He is suspected of murdering over 300 victims, mostly street children.[4][5]",
Pedro López,10/8/1948,Colombia Peru Ecuador,1969 to 1979,110,300+,"Child-murderer and rapist, known as ""The Monster of the Andes"". Targeted young girls, between the ages of eight and 12. Arrested in 1980 and convicted in 1983 of killing three young girls, but claimed to have killed hundreds. Despite being believed to be one of the most prolific serial killers of the twentieth century, he was released in the late 1990s.[6]",
Javed Iqbal,10/8/1956,Pakistan,1998 to 1999,100,100,"Child-murderer and rapist, known as ""Kukri"", Iqbal murdered 100 street children by strangling them and covering up his crimes by dissolving the bodies with acid. He was arrested in 1999 thanks to a letter he sent a newspaper, and was set to be executed in the manner described by the judge who stated, ""You will be strangled to death in front of the parents whose children you killed, Your body will then be cut into 100 pieces and put in acid, the same way you killed the children.""[7] However, he died in custody before he could be executed.[8]",
Mikhail Popkov,3/7/1964,Russia,1992 to 2010,78,81,"Serial rapist-killer nicknamed ""The Werewolf"", who was active for two decades in Angarsk, Irkutsk and Vladivostok. After being convicted of 22 murders in 2015, he confessed to an additional 59 murders, of which he was convicted of 56 in 2018.[9][10]",
Daniel Camargo Barbosa,1/22/1930,Colombia Ecuador Brazil (alleged)[11],1974 to 1986,72,180[11],"Child and woman murderer, believed to have possibly raped and killed over 150 victims, primarily targeting female children as they were more likely to be virgins. Confessed to killing 72 victims. He strangled young girls in Colombia and was arrested, but he escaped from prison and he started killing in Ecuador; rearrested in 1986, he was incarcerated in the same Ecuadorian prison as 300+ serial killer Pedro López.[citation needed]  Camargo was killed in jail by the nephew of one of his victims.[11][12]",
Pedro Rodrigues Filho,6/17/1954,Brazil,1967 to 2003,71,100+,"He claimed to have killed over 100 victims, 47 of them inmates. He also killed his father and ate a piece of his heart. He killed his first two victims at the age of 14; he was first arrested in 1973. Convicted and sentenced to 128 years, but the maximum one can serve in Brazil is 30 years.[13]",
Kampatimar Shankariya,,India,1977 to 1978,70,70+,"This mysterious Indian serial killer used a hammer to kill over 70 men and women between 1978 and 1979, his last words were, ""I have murdered in vain,"" he declared. ""Nobody should become like me."". [14][15][16][17]",
Yang Xinhai,7/29/1968,China,2000 to 2003,67,67,"Known as the ""Monster Killer"". Would enter victims' homes at night and kill using axes, meat cleavers, hammers, and shovels. Executed by gunshot in 2004.[18]",
Andrei Chikatilo,10/16/1936,Soviet Union,1978 to 1990,53,56,"Known as ""The Butcher of Rostov"", ""The Red Ripper"" or ""The Rostov Ripper"". Convicted of the murder of 53 women and children between 1978 and 1990. One man was previously convicted and executed for his first murder. Executed by gunshot in 1994.[19]",
Anatoly Onoprienko,7/25/1959,Soviet Union Ukraine,1989 to 1996,52,52+,"Known as ""The Beast of Ukraine"", ""The Terminator"" and ""Citizen O"". Convicted of the murders of nine people in 1989 and 43 people in 1995–1996. Traveled throughout Europe illegally from 1990 to 1995; whether he killed during this time is unknown. Sentenced to death, later commuted to imprisonment for life. Died from heart failure in 2013.[19]",
Samuel Little,6/7/1940,United States,1970 to 2005,50,93,"Was convicted of killing three women, but later investigations linked 31 other murders to him.  Little is now thought to be America's most prolific serial killer. He claims he killed as many as 93 victims total, three above his initial confession of 90, the FBI later confirmed a total of 50 murders linked to Little. The investigations into his crimes are ongoing.[20][21]",
Florisvaldo de Oliveira,11/18/1958,Brazil,1982,50,50+,"Known as ""Cabo Bruno""; former police officer and vigilante who murdered criminals in the outskirts of São Paulo; murdered by unknown assailants in 2012.[22]",
Willy Pickton,10/24/1949,Canada,1983 to 2002,49,49,"Nicknamed ""The Butcher""; Robert Pickton was a Canadian serial killer who killed 49 women and disposed of their bodies by feeding them to his pigs. He was convicted of only 6 murders but charged for his proven 49 victims. Unfortunately, much to the anger of the victims families, the remaining 43 charges were stayed or dropped.",
Gary Ridgway,2/18/1949,United States,1982 to 2000,49,71–90+,"Truck painter who confessed to killing 71 women. Also known as The Green River Killer. He almost exclusively targeted sex workers from Seattle. Suspected of killing over 90 victims, confessed to 71, convicted of 49.[23] Sentenced to life without parole and currently imprisoned in ADX Florence in Colorado.[24]",
Alexander Pichushkin,4/9/1974,Russia,1992 to 2006,48,60,"Known as the Chessboard Killer. Convicted of murdering 48 victims and suspected of killing 60. Claimed to have murdered 62 people, because he did not know that two of his victims had survived; stated goal of becoming Russia's most prolific serial killer.[25] Sentenced to imprisonment for life.",
Wang Qiang,1/16/1975,China,1995 to 2003,45,60+,Killed 45 and raped 10 from 1995 to 2003.[26] Executed in 2005.,
Ahmad Suradji,12/12/1952,Indonesia,1986 to 1997,42,70–80+,Convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. Executed by firing squad in 2008.[27],
Raman Raghav,,India,1965 to 1968,41,41,"In the late 1960s Raman Raghav went on a violent rampage in Mumbai, India. He bludgeoned 41 people to death inside their huts while they slept.",
Tiago Henrique Gomes da Rocha,2/4/1988,Brazil,2011 to 2014,39,~39,Brazilian security guard who confessed to the murders of 39 people. Attempted suicide in prison. Sentenced to 25 years.[28],
Moses Sithole,11/17/1964,South Africa,1994 to 1995,38,38+,"Known as South Africa's Ted Bundy. Preyed on unemployed women, posing as a businessman and luring his victims with the prospects of a job, before leading them to an isolated place, where he raped, tortured, and murdered them. Sentenced to 2410 years imprisonment with a non-parole period of 930 years.[29]",
Serhiy Tkach,9/15/1952,Soviet Union Ukraine,1984 to 2005,36,80–100,"A former Ukrainian police criminal investigator, suffocated girls aged between eight and 18 and performed sexual acts on their bodies after they were dead. Claims to have killed 100. Sentenced to imprisonment for life. Died from heart failure in 2018.[30]",
Gennady Mikhasevich,4/7/1947,Soviet Union,1971 to 1985,36,43–55+,"Strangled women. Besides killing, he also robbed his victims of money and valuable items (that he would sometimes give to his wife as a gift). Executed by firing squad in 1987.[31]",
Hadj Mohammed Mesfewi,,Morocco,1906 and earlier,36,36+,"Known as ""Marrakesh Arch-Killer""; drugged, mutilated and murdered women; executed 1906.",
Vera Renczi,,Romania  Yugoslavia Hungary (alleged),1920 to 1930,35,~35,"Romanian serial killer nicknamed, ""The Black Widow"" convicted of killing 35 men through arsenic poisoning but confessed to only killing 32 victims. Renczi is the world's most prolific female serial killer. However, there is very little information about Renczi and her crimes because personal information (criminal history, academic records, and etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore rather than an actual person.[32]",
Ted Bundy,1/24/1989,United States,1974 to 1978,35,36+,"American serial killer known for his charisma and good looks. Bundy officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. Infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another.[33] He was executed by electric chair in 1989.[34][35]",
Clementine Barnabet,,United States,1911,35,35,An axe murdering voodoo priestess who murdered African-American families at nighttime.[36],
John Wayne Gacy,3/17/1942,United States,1972 to 1978,33,34+,"Known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. Gacy was known as the ""Killer Clown"" due to the fact he often entertained children at social events dressed in a self devised clown costume. Executed by lethal injection in 1994.[37]",
Ali Asghar Borujerdi,,Ottoman Empire Iraq Persia,1907 to 1934,33,33,"Known as ""Asghar the Murderer"". Killed 33 young adults in Iraq and Iran. Executed by hanging in 1934.[38]",
Vasili Komaroff,1/1/1871,Soviet Union,1921 to 1923,33,33,"Known as ""The Wolf of Moscow""; horse trader who killed 33 men. Executed by firing squad in 1923.",
Fernando Hernández Leyva,,Mexico,1982 to 1999,33,100+,"Confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted and claimed that he had been beaten by the police and his family threatened in order to force him to confess. Accused of as many as 137 murders in five southern Mexican states, convicted of 33 murders and sentenced 50 years in prison. Tried unsuccessfully to kill himself in prison. If his claim of 100+ victims were true then Leyva would be one of the world's worst murders, currently he is Mexico's worst documented serial killer.[39]",
Ramadan Abdel Rehim Mansour,,Egypt,1999 to 2006,32,32+,"Gang leader known as al-Tourbini (""The Express Train""). Raped and tortured homeless children, mostly boys aged 10 to 14 years old, aboard the trains between Cairo, Alexandria, Qalyubia and Beni Sueif. The victims were usually thrown off the moving train when they were dead or in agony; other times they were thrown into the Nile or buried alive. Executed in 2010.[40]",
Volga Maniac,,Russia,2011 to 2012,32,32,"Killed elderly women in several Russian regions; Kazakhstani native Pavel Shayakhmetov, found guilty of killing two elderly women in Samara, was arrested on suspicion of committing these murders, but police forces believe that the real perpetrator, possibly originating from Tatarstan, is out there.[41]",
